,day,time,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
69,2018-01-18,13:15:00,7.67,7.68,7.68,7.66,186.4,0.01,0.13,7.664,7.68,7.6985,383.48,380.4,596.86,0.01
70,2018-01-18,13:10:00,7.66,7.67,7.67,7.65,32.0,0.01,0.13,7.664,7.686,7.7,401.4,392.06,621.79,0.0
71,2018-01-18,13:05:00,7.66,7.67,7.66,7.66,312.0,0.0,0.0,7.668,7.694,7.7,448.6,436.96,654.29,0.01
72,2018-01-18,11:30:00,7.65,7.66,7.66,7.65,287.0,0.01,0.13,7.672,7.704,7.6995,473.2,459.56,779.76,0.01
73,2018-01-18,11:25:00,7.68,7.69,7.65,7.65,1100.0,-0.03,-0.39,7.682,7.712,7.6985,534.8,504.16,806.01,0.05
74,2018-01-18,11:20:00,7.69,7.69,7.68,7.68,276.0,-0.01,-0.13,7.696,7.72,7.6985,377.32,499.5,846.24,0.01
75,2018-01-18,11:15:00,7.7,7.7,7.69,7.68,268.0,-0.01,-0.13,7.708,7.726,7.698,382.72,729.0,913.94,0.01
76,2018-01-18,11:10:00,7.71,7.71,7.68,7.68,435.0,-0.03,-0.39,7.72,7.725,7.697,425.32,816.18,950.43,0.02
77,2018-01-18,11:05:00,7.72,7.72,7.71,7.7,595.0,-0.01,-0.13,7.736,7.727,7.6965,445.92,808.48,1003.52,0.03
78,2018-01-18,11:00:00,7.74,7.74,7.72,7.72,312.6,-0.02,-0.26,7.742,7.724,7.694,473.52,792.28,1041.12,0.01
79,2018-01-18,10:55:00,7.75,7.75,7.74,7.74,303.0,-0.01,-0.13,7.744,7.717,7.6925,621.68,813.32,1062.17,0.01
80,2018-01-18,10:50:00,7.76,7.76,7.75,7.74,481.0,-0.01,-0.13,7.744,7.714,7.69,1075.28,851.52,1076.86,0.02
81,2018-01-18,10:45:00,7.73,7.76,7.76,7.73,538.0,0.03,0.39,7.73,7.706,7.686,1207.04,871.62,1078.47,0.02
82,2018-01-18,10:40:00,7.73,7.76,7.74,7.73,733.0,0.01,0.13,7.718,7.695,7.6825,1171.04,1099.96,1089.12,0.03
83,2018-01-18,10:35:00,7.74,7.76,7.73,7.72,1053.4,-0.01,-0.13,7.706,7.685,7.68,1111.04,1107.86,1071.62,0.05
84,2018-01-18,10:30:00,7.68,7.79,7.74,7.68,2571.0,0.06,0.78,7.69,7.677,7.678,1004.96,1192.98,1036.8,0.11
85,2018-01-18,10:25:00,7.7,7.7,7.68,7.66,1139.8,-0.02,-0.26,7.684,7.67,7.675,627.76,1098.88,927.16,0.05
86,2018-01-18,10:20:00,7.68,7.7,7.7,7.68,358.0,0.02,0.26,7.682,7.669,7.675,536.2,1084.68,875.81,0.02
87,2018-01-18,10:15:00,7.65,7.68,7.68,7.64,433.0,0.03,0.39,7.672,7.666,7.675,1028.88,1198.56,878.01,0.02
88,2018-01-18,10:10:00,7.71,7.71,7.65,7.65,523.0,-0.06,-0.78,7.664,7.664,7.6755,1104.68,1289.96,875.56,0.02
89,2018-01-18,10:05:00,7.67,7.71,7.71,7.67,685.0,0.04,0.52,7.664,7.668,7.6795,1381.0,1311.03,878.06,0.03
90,2018-01-18,10:00:00,7.65,7.67,7.67,7.65,682.0,0.02,0.26,7.656,7.666,7.6805,1570.0,1302.21,894.86,0.03
